,setosa,versicolor,virginica
sample1,1,0,0
sample2,1,0,0
sample3,1,0,0
sample4,1,0,0
sample5,1,0,0
sample6,1,0,0
sample7,1,0,0
sample8,1,0,0
sample9,1,0,0
sample10,1,0,0
sample11,1,0,0
sample12,1,0,0
sample13,1,0,0
sample14,1,0,0
sample15,1,0,0
sample16,1,0,0
sample17,1,0,0
sample18,1,0,0
sample19,1,0,0
sample20,1,0,0
sample21,1,0,0
sample22,1,0,0
sample23,1,0,0
sample24,1,0,0
sample25,1,0,0
sample26,1,0,0
sample27,1,0,0
sample28,1,0,0
sample29,1,0,0
sample30,1,0,0
sample31,1,0,0
sample32,1,0,0
sample33,1,0,0
sample34,1,0,0
sample35,1,0,0
sample36,1,0,0
sample37,1,0,0
sample38,1,0,0
sample39,1,0,0
sample40,1,0,0
sample41,1,0,0
sample42,1,0,0
sample43,1,0,0
sample44,1,0,0
sample45,1,0,0
sample46,1,0,0
sample47,1,0,0
sample48,1,0,0
sample49,1,0,0
sample50,1,0,0
sample51,0,1,0
sample52,0,1,0
sample53,0,1,0
sample54,0,1,0
sample55,0,1,0
sample56,0,1,0
sample57,0,1,0
sample58,0,1,0
sample59,0,1,0
sample60,0,1,0
sample61,0,1,0
sample62,0,1,0
sample63,0,1,0
sample64,0,1,0
sample65,0,1,0
sample66,0,1,0
sample67,0,1,0
sample68,0,1,0
sample69,0,1,0
sample70,0,1,0
sample71,0,1,0
sample72,0,1,0
sample73,0,1,0
sample74,0,1,0
sample75,0,1,0
sample76,0,1,0
sample77,0,1,0
sample78,0,1,0
sample79,0,1,0
sample80,0,1,0
sample81,0,1,0
sample82,0,1,0
sample83,0,1,0
sample84,0,1,0
sample85,0,1,0
sample86,0,1,0
sample87,0,1,0
sample88,0,1,0
sample89,0,1,0
sample90,0,1,0
sample91,0,1,0
sample92,0,1,0
sample93,0,1,0
sample94,0,1,0
sample95,0,1,0
sample96,0,1,0
sample97,0,1,0
sample98,0,1,0
sample99,0,1,0
sample100,0,1,0
sample101,0,0,1
sample102,0,0,1
sample103,0,0,1
sample104,0,0,1
sample105,0,0,1
sample106,0,0,1
sample107,0,0,1
sample108,0,0,1
sample109,0,0,1
sample110,0,0,1
sample111,0,0,1
sample112,0,0,1
sample113,0,0,1
sample114,0,0,1
sample115,0,0,1
sample116,0,0,1
sample117,0,0,1
sample118,0,0,1
sample119,0,0,1
sample120,0,0,1
sample121,0,0,1
sample122,0,0,1
sample123,0,0,1
sample124,0,0,1
sample125,0,0,1
sample126,0,0,1
sample127,0,0,1
sample128,0,0,1
sample129,0,0,1
sample130,0,0,1
sample131,0,0,1
sample132,0,0,1
sample133,0,0,1
sample134,0,0,1
sample135,0,0,1
sample136,0,0,1
sample137,0,0,1
sample138,0,0,1
sample139,0,0,1
sample140,0,0,1
sample141,0,0,1
sample142,0,0,1
sample143,0,0,1
sample144,0,0,1
sample145,0,0,1
sample146,0,0,1
sample147,0,0,1
sample148,0,0,1
sample149,0,0,1
sample150,0,0,1
